0.0,0.0,0.001
0.0,0.0,0.001
0.0,0.0,0.001
0.0,0.0,0.001
0.9,0.0,0.001
0.9,0.0,0.001
0.7,0.0,0.001
0.9,0.0,0.001
0.95,0.0,0.001
0.95,0.0,0.001
0.0,0.0,1.0
0.0,0.0,10.0
0.0,0.0,0.001
0.0,0.0,0.0001
0.0,0.0,0.001
0.0,0.0,0.0015
0.0,0.0,0.0015
0.0,0.0,0.0015
0.0,0.0,0.0001
0.0,0.0,0.0015
0.0,0.9,0.001
0.0,0.0,0.001
0.9,0.0005,0.001
0.9,0.0005,0.001
0.0,0.0,0.001
0.0,3e-05,0.0003
0.0,3e-05,0.003
0.0,3e-05,0.003
0.0,3e-05,0.003
0.9,3e-05,0.003
0.1,3e-05,0.003
0.25,3e-05,0.0003
0.0,0.0,0.01
0.0,0.0,0.001
0.0,0.0,0.001
0.0,0.6,0.09
0.9,0.001,0.001
0.0,0.0,0.001
0.0,0.0,0.001
0.0,0.0,0.001
0.0,0.0,0.01
0.0,0.0,0.01
0.0,0.0,0.05
0.0,0.0,0.001
0.0,0.0005,0.001
0.0,5e-05,0.0005
0.0,5e-05,0.001
0.0,0.0,0.001
0.0,0.0,0.001
0.75,0.001,0.05
0.75,0.001,0.05
0.9,0.001,0.01
0.9,0.001,0.01
0.9,0.001,0.01
