alpha.value,batchSize.value,beta1.value,beta2.value,epochs.value,epsilon.value,initialAccumulator.value,lambda.value,learningRate.value,learningRateDecay.value,lossFunction.value,momentum.value,optimizer.value,rho.value,weightDecay.value
0.75,350.0,,,250.0,,,0.0001,0.001,,1,,3,,0.0
0.75,250.0,,,50.0,,,0.0001,0.001,,1,,3,,0.0
,300.0,,,100.0,,,,0.001,,3,0.0,5,,0.0
,300.0,0.9,0.999,100.0,1e-06,,,0.001,,1,,1,,0.0
,80.0,,,10.0,1e-06,,,0.001,,1,,2,0.9,0.0
,50.0,,,15.0,1e-06,,,0.001,,1,,2,0.9,0.0
,30.0,,,15.0,1e-06,,,0.001,,1,,2,0.9,0.0
,20.0,,,15.0,1e-06,,,0.001,,1,,2,0.9,0.0
,20.0,,,10.0,1e-06,,,0.001,,1,,2,0.9,0.0
,15.0,,,15.0,1e-06,,,0.001,,1,,2,0.9,0.0
,15.0,,,15.0,1e-06,,,0.02,,1,,2,0.9,0.0
,15.0,,,15.0,1e-06,,,0.05,,1,,2,0.9,0.0
,15.0,,,15.0,1e-07,,,0.05,,1,,2,0.9,0.0
,15.0,,,15.0,2e-06,,,0.05,,1,,2,0.9,0.0
,15.0,,,15.0,5e-06,,,0.05,,1,,2,0.9,0.0
,15.0,,,15.0,5e-06,,,0.05,,1,,2,0.9,0.0001
,15.0,,,15.0,5e-06,,,0.05,,4,,2,0.9,0.0001
,13.0,,,18.0,5e-06,,,0.05,,1,,2,0.9,0.0001
,12.0,,,19.0,5e-06,,,0.05,,1,,2,0.9,0.0001
,13.0,,,18.0,5e-06,,,0.06,,1,,2,0.9,0.0001
,64.0,0.9,0.999,50.0,1e-06,,,0.0003,,1,,1,,0.0005
,64.0,0.9,0.999,80.0,1e-06,,,0.0003,,1,,1,,0.0005
,64.0,,,80.0,,,,0.001,,1,0.9,5,,0.0005
0.75,64.0,,,80.0,,,0.0001,0.001,,1,,3,,0.0005
,64.0,,,80.0,1e-06,,,0.001,,1,,2,0.9,0.0005
,64.0,0.9,0.999,80.0,1e-06,,,0.001,,1,,1,,0.0005
,128.0,0.9,0.999,80.0,1e-06,,,0.0003,,1,,1,,0.0005
,128.0,,,80.0,,,,0.001,,1,0.9,5,,0.0005
,32.0,,,30.0,,,,0.001,,1,0.0,5,,0.0
,32.0,,,30.0,,,,0.0003,,1,0.0,5,,3e-05
,32.0,,,28.0,,,,0.003,,1,0.0,5,,3e-05
,32.0,,,70.0,,,,0.003,,1,0.0,5,,3e-05
,32.0,,,69.0,,,,0.003,,1,0.0,5,,3e-05
,32.0,,,70.0,,,,0.003,,1,0.9,5,,3e-05
,32.0,,,70.0,,,,0.003,,1,0.1,5,,3e-05
,32.0,,,140.0,,,,0.0003,,1,0.25,5,,3e-05
,50.0,,,100.0,,,,0.01,,1,0.0,5,,0.0
,50.0,,,100.0,,,,0.001,,1,0.0,5,,0.0
,50.0,,,100.0,,,,0.001,,4,0.0,5,,0.0
,50.0,0.9,0.999,100.0,1e-06,,,0.001,,1,,1,,0.0
0.75,50.0,,,100.0,1e-06,,,0.001,,1,0.0,4,,0.0
,128.0,0.5,0.5,10.0,0.9,,,0.5,,1,,1,,0.9
,256.0,,,10.0,,0.0,,0.09,0.6,1,,6,,0.6
,500.0,,,10.0,,,,0.09,,4,0.0,5,,0.6
0.99,500.0,,,10.0,,,0.99,0.09,,4,,3,,0.6
,500.0,0.99,0.99,20.0,1e-05,,,0.009,,1,,1,,0.6
,512.0,0.9,0.999,20.0,1e-05,,,0.001,,1,,1,,0.0
,128.0,0.9,0.999,40.0,1e-05,,,0.001,,1,,1,,0.0
,512.0,0.9,0.999,100.0,1e-05,,,0.001,,3,,1,,0.001
,512.0,,,200.0,,,,0.001,,1,0.9,5,,0.001
,512.0,,,200.0,,0.1,,0.001,0.001,1,,6,,0.0
,512.0,,,200.0,1e-06,,,0.01,,1,,2,0.8,0.0
,5.0,0.9,0.999,1.0,1e-06,,,0.0001,,1,,1,,0.0
,5.0,0.9,0.999,1.0,1e-06,,,0.001,,1,,1,,0.0
,5.0,0.9,0.999,10.0,1e-06,,,0.0001,,1,,1,,0.0
,10.0,0.9,0.999,20.0,1e-06,,,0.0001,,1,,1,,0.0
,20.0,0.9,0.999,30.0,1e-06,,,0.0001,,1,,1,,0.95
,20.0,0.9,0.999,20.0,1e-06,,,0.0001,,1,,1,,0.05
,10.0,0.9,0.999,20.0,1e-06,,,0.0001,,1,,1,,0.005
,10.0,0.9,0.999,20.0,1e-06,,,0.0001,,1,,1,,0.0
,20.0,0.9,0.999,40.0,1e-06,,,0.0001,,1,,1,,0.005
,20.0,0.9,0.999,50.0,1e-06,,,0.0001,,1,,1,,0.0
,30.0,0.9,0.999,50.0,1e-06,,,0.0001,,1,,1,,0.0
,30.0,0.9,0.999,100.0,1e-06,,,0.0001,,1,,1,,0.0
,10.0,0.9,0.999,50.0,1e-06,,,0.001,,1,,1,,0.0
,64.0,0.9,0.999,5.0,1e-06,,,0.01,,1,,1,,0.0
0.75,4.0,,,4.0,,,0.0001,0.01,,1,,3,,0.0
