user_id,user_experience,user_education_background
A86DC8A,10,masters-first
5B55DDA,18,masters-completed
D799D1A,12,masters-first
B5595CA,20,masters-completed
BEBF04A,20,masters-completed
408EECA,36,masters-completed
DF66BFA,0,masters-completed
