user_id,user_experience,user_education_background
BB8DA7A,3,masters-first
347864A,0,masters-completed
193DD8A,0,masters-completed
45A082A,20,masters-completed
0B7093A,9,masters-first
739CF5A,2,masters-first
CB4504A,12,masters-completed
582898A,6,masters-first
0F69D5A,24,masters-completed
